Index,X_Value,Y_Value,Z_Group
1,0.5640,0.6830,0.80
2,0.5690,0.6930,0.80
3,0.5750,0.7040,0.80
4,0.5800,0.7140,0.80
5,0.5850,0.7240,0.80
6,0.5920,0.7330,0.80
7,0.6000,0.7420,0.80
8,0.6930,0.5870,1.60
9,0.7030,0.5920,1.60
10,0.7100,0.6010,1.60
11,0.7150,0.6110,1.60
12,0.7240,0.6200,1.60
13,0.7340,0.6250,1.60
14,0.7420,0.6320,1.60
15,0.7530,0.6360,1.60
