Index,X_Value,Y_Value,Z_Group
1,0.7450,0.5860,0.70
2,0.7550,0.5960,0.70
3,0.7660,0.6030,0.70
4,0.7780,0.6070,0.70
5,0.7900,0.6120,0.70
6,0.8010,0.6140,0.70
7,0.8130,0.6170,0.70
8,0.8250,0.6260,0.70
9,0.8340,0.6400,0.70
10,0.8460,0.6450,0.70
11,0.6850,0.7560,0.60
12,0.6960,0.7610,0.60
13,0.7080,0.7630,0.60
14,0.7240,0.7650,0.60
15,0.7360,0.7700,0.60
16,0.7480,0.7790,0.60
17,0.7590,0.7890,0.60
18,0.7710,0.7960,0.60
19,0.7850,0.7960,0.60
